Location,Avg_ART_Coverage
Chad,23.5
Micronesia (Federated States of),
Paraguay,26.833333333333332
Yemen,10.5
Senegal,34.75
Cabo Verde,39.291666666666664
Sweden,
Kiribati,
Republic of Korea,
Guyana,41.666666666666664
Philippines,17.869565217391305
Eritrea,31.416666666666668
Djibouti,13.347826086956522
Tonga,
Malaysia,26.541666666666668
Singapore,46.0
Fiji,14.25
Malawi,41.041666666666664
Iraq,28.875
Germany,
Comoros,21.666666666666668
Cambodia,46.625
Afghanistan,4.291666666666667
Jordan,40.958333333333336
Rwanda,45.875
Maldives,
Sudan,13.095238095238095
Palau,
France,76.68181818181819
Greece,62.0
Sri Lanka,18.291666666666668
Dominica,
Algeria,37.166666666666664
Togo,31.541666666666668
Equatorial Guinea,
Slovakia,34.94736842105263
Argentina,49.375
Angola,16.083333333333332
Belgium,
San Marino,
Qatar,21.0
Ecuador,32.541666666666664
Lesotho,38.958333333333336
Madagascar,4.375
Albania,26.791666666666668
Finland,
TÃ¼rkiye,
Ghana,18.958333333333332
Nicaragua,25.916666666666668
Myanmar,29.333333333333332
Brunei Darussalam,
Peru,37.541666666666664
Sierra Leone,22.125
Benin,0.0
Bahamas,42.666666666666664
India,68.0
China,
Belarus,28.791666666666668
Timor-Leste,18.285714285714285
Malta,41.666666666666664
Kuwait,57.625
Sao Tome and Principe,
Somalia,16.125
Marshall Islands,
Tuvalu,
Chile,45.25
Tajikistan,21.25
United Republic of Tanzania,31.875
Bolivia (Plurinational State of),18.416666666666668
Croatia,50.833333333333336
Burundi,38.5
Nigeria,29.958333333333332
Andorra,
Gabon,28.333333333333332
Italy,60.40909090909091
Suriname,25.958333333333332
Lithuania,16.625
Norway,
Turkmenistan,
Spain,65.36363636363636
Cuba,35.666666666666664
Mauritania,25.375
Czechia,44.26086956521739
Niger,30.583333333333332
Denmark,69.04166666666667
Central African Republic,
Bangladesh,13.0
Barbados,42.541666666666664
Venezuela (Bolivarian Republic of),35.0
Russian Federation,
Ireland,69.0
Congo,14.291666666666666
Thailand,38.458333333333336
Bhutan,19.5
Democratic Republic of the Congo,23.916666666666668
Morocco,30.25
Monaco,
Panama,34.0
Nauru,
Ukraine,20.318181818181817
Iceland,73.0
Israel,58.31818181818182
Saint Kitts and Nevis,
Oman,34.375
United States of America,
Cyprus,
Uruguay,41.125
Mexico,36.25
Cote d'Ivoire,28.041666666666668
Montenegro,30.708333333333332
Georgia,40.041666666666664
Zimbabwe,41.375
Estonia,32.21739130434783
Indonesia,10.0
Saint Vincent and the Grenadines,
Mongolia,16.125
Guatemala,40.083333333333336
Libya,41.0
Azerbaijan,22.565217391304348
Grenada,
Armenia,21.541666666666668
Tunisia,10.916666666666666
Liberia,21.333333333333332
Honduras,34.458333333333336
Trinidad and Tobago,
Saudi Arabia,53.208333333333336
Iran (Islamic Republic of),13.5
Uganda,36.625
Namibia,41.375
Switzerland,70.78260869565217
Zambia,44.208333333333336
Ethiopia,39.666666666666664
Latvia,19.166666666666668
Jamaica,27.708333333333332
Eswatini,41.375
South Sudan,10.5
United Arab Emirates,
United Kingdom of Great Britain and Northern Ireland,
Saint Lucia,
Guinea,23.875
Canada,48.476190476190474
Seychelles,
Kyrgyzstan,20.25
North Macedonia,29.666666666666668
Uzbekistan,30.789473684210527
Samoa,
Mozambique,29.0
Cook Islands,
Belize,26.5
Brazil,48.958333333333336
Gambia,14.75
Kenya,40.25
Lebanon,38.416666666666664
Lao People's Democratic Republic,24.73913043478261
Slovenia,57.0
Antigua and Barbuda,
Dominican Republic,24.958333333333332
Viet Nam,32.875
Japan,
Botswana,51.791666666666664
Luxembourg,59.041666666666664
New Zealand,61.875
Netherlands (Kingdom of the),68.52173913043478
Bosnia and Herzegovina,28.19047619047619
Haiti,28.666666666666668
Poland,
Republic of Moldova,18.083333333333332
Portugal,45.05555555555556
Papua New Guinea,29.916666666666668
Australia,66.65217391304348
Cameroon,
Guinea-Bissau,21.5
Romania,58.708333333333336
Bulgaria,28.125
Solomon Islands,
Nepal,28.5
Austria,
Egypt,16.5
Costa Rica,35.916666666666664
El Salvador,37.125
Kazakhstan,21.958333333333332
Serbia,43.791666666666664
Burkina Faso,33.416666666666664
South Africa,35.916666666666664
Bahrain,
Colombia,26.434782608695652
Hungary,
Pakistan,4.791666666666667
Vanuatu,
Niue,
Mauritius,13.208333333333334
Syrian Arab Republic,21.041666666666668
Mali,22.75
Democratic People's Republic of Korea,
